Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held
Eaton Corp. Plc,ETN,G2918310,B8KQN82,0.148528,Industrials,4617370
Roper Technologies Inc.,ROP,77669610,2749602,0.145695,Industrials,1157019
General Dynamics Corporation,GD,36955010,2365161,0.142826,Industrials,2609171
Ross Stores Inc.,ROST,77829610,2746711,0.142108,Consumer Discretionary,4038453
Xcel Energy Inc.,XEL,98389B10,2614807,0.139218,Utilities,5848050
General Mills Inc.,GIS,37033410,2367026,0.138783,Consumer Staples,6752052
FedEx Corporation,FDX,31428X10,2142784,0.137407,Industrials,2661266
SBA Communications Corp. Class A,SBAC,78410G10,BZ6TS23,0.136712,Real Estate,1257381
Emerson Electric Co.,EMR,29101110,2313405,0.136366,Industrials,6797593
Allstate Corporation,ALL,2000210,2019952,0.133145,Financials,3618863
Electronic Arts Inc.,EA,28551210,2310194,0.132862,Communication Services,3258064
General Motors Company,GM,37045V10,B665KZ5,0.129946,Consumer Discretionary,14011843
Kinder Morgan Inc Class P,KMI,49456B10,B3NQ4P8,0.128491,Energy,21586172
Public Storage,PSA,74460D10,2852533,0.128397,Real Estate,1663412
Bank of New York Mellon Corporation,BK,6405810,B1Z77F6,0.127172,Financials,9374503
Sysco Corporation,SYY,87182910,2868165,0.125797,Consumer Staples,5722023
Cognizant Technology Solutions Corporation Class A,CTSH,19244610,2257019,0.125167,Information Technology,6111631
WEC Energy Group Inc,WEC,92939U10,BYY8XK8,0.124712,Utilities,3496312
Capital One Financial Corporation,COF,14040H10,2654461,0.123667,Financials,5198413
DuPont de Nemours Inc.,DD,26614N10,BK0VN47,0.12262,Materials,8297209
T-Mobile US Inc.,TMUS,87259010,B94Q9V0,0.122166,Communication Services,3511526
HP Inc.,HPQ,40434L10,BYX4D52,0.121867,Information Technology,16524737
Aflac Incorporated,AFL,105510,2026361,0.120498,Financials,8194687
Motorola Solutions Inc.,MSI,62007630,B5BKPQ4,0.117226,Information Technology,1913984
Travelers Companies Inc.,TRV,8.94E+14,2769503,0.116828,Financials,2880272
MetLife Inc.,MET,59156R10,2573209,0.11677,Financials,8732039
Eversource Energy,ES,30040W10,BVVN4Q8,0.115842,Utilities,3578839
Consolidated Edison Inc.,ED,20911510,2216850,0.115602,Utilities,3704077
HCA Healthcare Inc,HCA,40412C10,B4MGBG6,0.114859,Health Care,2958555
O'Reilly Automotive Inc.,ORLY,67103H10,B65LWX6,0.11345,Consumer Discretionary,844641
MSCI Inc. Class A,MSCI,55354G10,B2972D2,0.112154,Financials,934778
Phillips 66,PSX,71854610,B78C4Y8,0.110901,Energy,4960047
IHS Markit Ltd.,INFO,G4756710,BD0Q558,0.109514,Industrials,4472869
American International Group Inc.,AIG,2687478,2027342,0.109364,Financials,9670606
McKesson Corporation,MCK,58155Q10,2378534,0.108936,Health Care,2012734
T. Rowe Price Group,TROW,74144T10,2702337,0.108611,Financials,2607129
KLA Corporation,KLAC,48248010,2480138,0.108414,Information Technology,1761005
Constellation Brands Inc. Class A,STZ,21036P10,2170473,0.107745,Consumer Staples,1862963
Amphenol Corporation Class A,APH,3209510,2145084,0.107744,Information Technology,3310559
Kroger Co.,KR,50104410,2497406,0.106175,Consumer Staples,8906256
Verisk Analytics Inc,VRSK,92345Y10,B4P9W92,0.106174,Industrials,1817577
eBay Inc.,EBAY,27864210,2293819,0.105919,Consumer Discretionary,8543047
Yum! Brands Inc.,YUM,98849810,2098876,0.105761,Consumer Discretionary,3396347
EOG Resources Inc.,EOG,26875P10,2318024,0.105605,Energy,6498730
TE Connectivity Ltd.,TEL,H8498910,B62B7C3,0.105225,Information Technology,3753226
Agilent Technologies Inc.,A,00846U10,2520153,0.104585,Health Care,3451061
Marriott International Inc. Class A,MAR,57190320,2210614,0.103107,Consumer Discretionary,3028824
Public Service Enterprise Group Inc,PEG,74457310,2707677,0.101382,Utilities,5603751
Monster Beverage Corporation,MNST,61174X10,BZ07BW4,0.101334,Consumer Staples,4261844
Dow Inc.,DOW,26055710,BHXCF84,0.101094,Materials,8285739
Prudential Financial Inc.,PRU,74432010,2819118,0.100685,Financials,4481719
Clorox Company,CLX,18905410,2204026,0.099789,Consumer Staples,1402271
Schlumberger NV,SLB,80685710,2779201,0.098668,Energy,15465146
American Water Works Company Inc.,AWK,3042010,B2R3PV1,0.098426,Utilities,2006629
Willis Towers Watson Public Limited Company,WLTW,G9662910,BDB6Q21,0.097352,Financials,1430921
PPG Industries Inc.,PPG,69350610,2698470,0.09707,Materials,2630711
AutoZone Inc.,AZO,5333210,2065955,0.096802,Consumer Discretionary,266083
AvalonBay Communities Inc.,AVB,5348410,2131179,0.096487,Real Estate,1553780
Trane Technologies plc,TT,G8994E10,BK9ZQ96,0.096006,Industrials,2688126
Paychex Inc.,PAYX,70432610,2674458,0.095742,Information Technology,3547084
FirstEnergy Corp.,FE,33793210,2100920,0.095719,Utilities,6021360
ResMed Inc.,RMD,76115210,2732903,0.095711,Health Care,1589042
Johnson Controls International plc,JCI,G5150210,BY7QL61,0.095646,Industrials,8617348
PACCAR Inc,PCAR,69371810,2665861,0.095318,Industrials,3835733
Zimmer Biomet Holdings Inc.,ZBH,98956P10,2783815,0.095257,Health Care,2297682
Cummins Inc.,CMI,23102110,2240202,0.094948,Industrials,1711389
Hilton Worldwide Holdings Inc,HLT,43300A20,BYVMW06,0.094849,Consumer Discretionary,3152032
Edison International,EIX,28102010,2829515,0.094753,Utilities,3992634
Equity Residential,EQR,29476L10,2319157,0.094647,Real Estate,3887179
Ford Motor Company,F,34537086,2615468,0.094233,Consumer Discretionary,43663196
Ball Corporation,BLL,5849810,2073022,0.093901,Materials,3651270
Twitter Inc.,TWTR,90184L10,BFLR866,0.093592,Communication Services,8620693
Welltower Inc.,WELL,95040Q10,BYVYHH4,0.093508,Real Estate,4512352
V.F. Corporation,VFC,91820410,2928683,0.093134,Consumer Discretionary,3658265
Xilinx Inc.,XLNX,98391910,2985677,0.09308,Information Technology,2820449
IQVIA Holdings Inc,IQV,46266C10,BDR73G1,0.091544,Health Care,2014385
TransDigm Group Incorporated,TDG,89364110,B11FJK3,0.091512,Industrials,553634
ANSYS Inc.,ANSS,03662Q10,2045623,0.090526,Information Technology,955912
IDEXX Laboratories Inc.,IDXX,45168D10,2459202,0.090475,Health Care,955336
Hershey Company,HSY,42786610,2422806,0.09043,Consumer Staples,1660859
Southwest Airlines Co.,LUV,84474110,2831543,0.089678,Industrials,5291078
Entergy Corporation,ETR,29364G10,2317087,0.088143,Utilities,2217114
Archer-Daniels-Midland Company,ADM,3948310,2047317,0.088071,Consumer Staples,6217083
Cerner Corporation,CERN,15678210,2185284,0.087986,Health Care,3506457
Simon Property Group Inc.,SPG,82880610,2812452,0.087432,Real Estate,3424893
Alexion Pharmaceuticals Inc.,ALXN,1535110,2036070,0.087425,Health Care,2468882
Realty Income Corporation,O,75610910,2724193,0.087345,Real Estate,3640756
Synopsys Inc.,SNPS,87160710,2867719,0.087272,Information Technology,1658960
DTE Energy Company,DTE,23333110,2280220,0.086461,Utilities,2146608
Cadence Design Systems Inc.,CDNS,12738710,2302232,0.086173,Information Technology,3131510
Valero Energy Corporation,VLO,91913Y10,2041364,0.085936,Energy,4584400
Dollar Tree Inc.,DLTR,25674610,2272476,0.084744,Consumer Discretionary,2638189
Rockwell Automation Inc.,ROK,77390310,2754060,0.084463,Industrials,1289879
Fastenal Company,FAST,31190010,2332262,0.084377,Industrials,6352699
Delta Air Lines Inc.,DAL,24736170,B1W9D46,0.084086,Industrials,6452630
FleetCor Technologies Inc.,FLT,33904110,B4R28B3,0.083651,Information Technology,958227
VeriSign Inc.,VRSN,9.23E+14,2142922,0.083368,Information Technology,1152927
Tyson Foods Inc. Class A,TSN,90249410,2909730,0.082705,Consumer Staples,3285786
Corteva Inc,CTVA,22052L10,BK73B42,0.082672,Materials,8330851
State Street Corporation,STT,85747710,2842040,0.082529,Financials,4062312
PPL Corporation,PPL,69351T10,2680905,0.081871,Utilities,8072932
Microchip Technology Incorporated,MCHP,59501710,2592174,0.081781,Information Technology,2669634
Ameren Corporation,AEE,2360810,2050832,0.081154,Utilities,2712114
Williams Companies Inc.,WMB,96945710,2967181,0.078641,Energy,13424643
Chipotle Mexican Grill Inc.,CMG,16965610,B0X7DZ3,0.077263,Consumer Discretionary,284299
Corning Inc,GLW,21935010,2224701,0.076969,Information Technology,8584832
Parker-Hannifin Corporation,PH,70109410,2671501,0.076697,Industrials,1429138
AMETEK Inc.,AME,3110010,2089212,0.075147,Industrials,2524539
Republic Services Inc.,RSG,76075910,2262530,0.075092,Industrials,2360060
Las Vegas Sands Corp.,LVS,51783410,B02T2J7,0.074963,Consumer Discretionary,3770788
Alexandria Real Estate Equities Inc.,ARE,1527110,2009210,0.074788,Real Estate,1282997
Stanley Black & Decker Inc.,SWK,85450210,B3Q2FJ4,0.074199,Industrials,1683100
CMS Energy Corporation,CMS,12589610,2219224,0.074003,Utilities,3161571
Mettler-Toledo International Inc.,MTD,59268810,2126249,0.073619,Health Care,271640
McCormick & Company Incorporated,MKC,57978020,2550161,0.07357,Consumer Staples,1359507
Northern Trust Corporation,NTRS,66585910,2648668,0.073278,Financials,2365688
Cintas Corporation,CTAS,17290810,2197137,0.07327,Industrials,925518
Citrix Systems Inc.,CTXS,17737610,2182553,0.072705,Information Technology,1283375
Skyworks Solutions Inc.,SWKS,83088M10,2961053,0.072679,Information Technology,1901890
Keysight Technologies Inc,KEYS,49338L10,BQZJ0Q9,0.072154,Information Technology,2084328
Church & Dwight Co. Inc.,CHD,17134010,2195841,0.070484,Consumer Staples,2725884
Kraft Heinz Company,KHC,50075410,BYRY499,0.070299,Consumer Staples,6903876
Akamai Technologies Inc.,AKAM,00971T10,2507457,0.06995,Information Technology,1802935
Fortive Corp.,FTV,34959J10,BYT3MK1,0.069806,Industrials,3286412
Marathon Petroleum Corporation,MPC,56585A10,B3K3L40,0.069003,Energy,7253913
Arthur J. Gallagher & Co.,AJG,36357610,2359506,0.068348,Financials,2058220
Copart Inc.,CPRT,21720410,2208073,0.068159,Industrials,2285059
M&T Bank Corporation,MTB,55261F10,2340168,0.067038,Financials,1473016
CDW Corp.,CDW,12514G10,BBM5MD6,0.067032,Information Technology,1613518
Equifax Inc.,EFX,29442910,2319146,0.067024,Industrials,1340266
Kellogg Company,K,48783610,2486813,0.067003,Consumer Staples,2773853
Best Buy Co. Inc.,BBY,8651610,2094670,0.065703,Consumer Discretionary,2541820
Essex Property Trust Inc.,ESS,29717810,2316619,0.065566,Real Estate,729292
Aptiv PLC,APTV,G6095L10,B783TY6,0.064914,Consumer Discretionary,2856550
Fortinet Inc.,FTNT,3.50E+14,B5B2106,0.064676,Information Technology,1582160
Ameriprise Financial Inc.,AMP,03076C10,B0J7D57,0.064502,Financials,1415239
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.063811,Materials,2878311
Tiffany & Co.,TIF,88654710,2892090,0.063462,Consumer Discretionary,1195617
Cooper Companies Inc.,COO,21664840,2222631,0.063395,Health Care,546766
Align Technology Inc.,ALGN,1625510,2679204,0.063042,Health Care,800233
Hewlett Packard Enterprise Co.,HPE,42824C10,BYVYWS0,0.063017,Information Technology,14557900
First Republic Bank,FRC,33616C10,B4WHY15,0.062759,Financials,1875761
CBRE Group Inc. Class A,CBRE,12504L10,B6WVMH3,0.062669,Real Estate,3750267
Maxim Integrated Products Inc.,MXIM,57772K10,2573760,0.062606,Information Technology,3034962
Weyerhaeuser Company,WY,96216610,2958936,0.06205,Real Estate,8257276
Vulcan Materials Company,VMC,92916010,2931205,0.061847,Materials,1471812
Conagra Brands Inc.,CAG,20588710,2215460,0.061793,Consumer Staples,5397377
Old Dominion Freight Line Inc.,ODFL,67958010,2656423,0.061503,Industrials,1064099
Laboratory Corporation of America Holdings,LH,50540R40,2586122,0.061353,Health Care,1089004
Cardinal Health Inc.,CAH,14149Y10,2175672,0.061346,Health Care,3287000
Kansas City Southern,KSU,48517030,2607647,0.061321,Industrials,1117547
Teleflex Incorporated,TFX,87936910,2881407,0.06132,Health Care,514385
Boston Properties Inc.,BXP,10112110,2019479,0.061235,Real Estate,1603434
MarketAxess Holdings Inc.,MKTX,57060D10,B03Q9D0,0.060917,Financials,420043
Evergy Inc.,EVRG,30034W10,BFMXGR0,0.060867,Utilities,2545823
Amcor PLC,AMCR,G0250X10,BJ1F307,0.06045,Materials,18087292
D.R. Horton Inc.,DHI,23331A10,2250687,0.060441,Consumer Discretionary,3744049
Discover Financial Services,DFS,25470910,B1YLC43,0.059995,Financials,3498979
Western Digital Corporation,WDC,95810210,2954699,0.059459,Information Technology,3265717
Incyte Corporation,INCY,45337C10,2471950,0.059164,Health Care,1970202
Take-Two Interactive Software Inc.,TTWO,87405410,2122117,0.059065,Communication Services,1246687
AmerisourceBergen Corporation,ABC,3.07E+13,2795393,0.058025,Health Care,1677176
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.057675,Financials,4015459
Waters Corporation,WAT,94184810,2937689,0.056644,Health Care,719841
Leidos Holdings Inc.,LDOS,52532710,BDV82B8,0.056505,Information Technology,1485032
Pioneer Natural Resources Company,PXD,72378710,2690830,0.056504,Energy,1848972
Fifth Third Bancorp,FITB,31677310,2336747,0.05644,Financials,7926977
Dover Corporation,DOV,26000310,2278407,0.056306,Industrials,1618828
Omnicom Group Inc,OMC,68191910,2279303,0.056169,Communication Services,2424762
International Flavors & Fragrances Inc.,IFF,45950610,2464165,0.056064,Materials,1190583
International Paper Company,IP,46014610,2465254,0.05583,Materials,4379647
Hormel Foods Corporation,HRL,44045210,2437264,0.055791,Consumer Staples,3026036
Xylem Inc.,XYL,98419M10,B3P2CN8,0.055726,Industrials,1993208
Martin Marietta Materials Inc.,MLM,57328410,2572079,0.055635,Materials,694318
Healthpeak Properties Inc.,PEAK,42250P10,BJBLRK3,0.054751,Real Estate,5476441
Cincinnati Financial Corporation,CINF,17206210,2196888,0.054699,Financials,1690290
Lennar Corporation Class A,LEN,52605710,2511920,0.054489,Consumer Discretionary,3124704
Quest Diagnostics Incorporated,DGX,74834L10,2702791,0.054181,Health Care,1481413
J.M. Smucker Company,SJM,83269640,2951452,0.053727,Consumer Staples,1263134
Mid-America Apartment Communities Inc.,MAA,59522J10,2589132,0.053435,Real Estate,1264571
Atmos Energy Corporation,ATO,4956010,2315359,0.052761,Utilities,1333201
Jack Henry & Associates Inc.,JKHY,42628110,2469193,0.052739,Information Technology,849566
Occidental Petroleum Corporation,OXY,67459910,2655408,0.052462,Energy,9946987
Extra Space Storage Inc.,EXR,30225T10,B02HWR9,0.052199,Real Estate,1413547
KeyCorp,KEY,49326710,2490911,0.051794,Financials,10994138
Paycom Software Inc.,PAYC,70432V10,BL95MY0,0.051721,Information Technology,548912
Duke Realty Corporation,DRE,26441150,2284084,0.051718,Real Estate,4106078
Alliant Energy Corp,LNT,1880210,2973821,0.051629,Utilities,2621963
Expeditors International of Washington Inc.,EXPD,30213010,2325507,0.051172,Industrials,1909224
Seagate Technology PLC,STX,G7945M10,B58JVZ5,0.050886,Information Technology,2580448
Broadridge Financial Solutions Inc.,BR,11133T10,B1VP7R6,0.050778,Information Technology,1274341
STERIS Plc,STE,G8473T10,BFY8C75,0.050464,Health Care,947133
W.W. Grainger Inc.,GWW,38480210,2380863,0.050455,Industrials,492875
Arista Networks Inc.,ANET,4041310,BN33VM5,0.05004,Information Technology,606911
Nasdaq Inc.,NDAQ,63110310,2965107,0.049854,Financials,1292621
Jacobs Engineering Group Inc.,J,46981410,2469052,0.049595,Industrials,1511444
Ulta Beauty Inc,ULTA,90384S30,B28TS42,0.049559,Consumer Discretionary,638440
Synchrony Financial,SYF,87165B10,BP96PS6,0.04927,Financials,6298147
Garmin Ltd.,GRMN,H2906T10,B3Z5T14,0.049162,Consumer Discretionary,1611099
Zebra Technologies Corporation Class A,ZBRA,98920710,2989356,0.048899,Information Technology,602256
NortonLifeLock Inc.,NLOK,66877110,BJN4XN5,0.048825,Information Technology,6341210
Ventas Inc.,VTR,92276F10,2927925,0.048624,Real Estate,4117015
FMC Corporation,FMC,30249130,2328603,0.04825,Materials,1463304
